email,Age,Gender,Education Level,Years of Experience,Job Role,Industry,Current Job Title,Income Level,Location,AI Upskilling,AI Upskilling Type,Success in Hiring Process,Percentage Hike in Salary
,50,Male,High School,11,Analyst,IT,Teacher,Medium,City_C,1,Workshops,1,25.83082013
,36,Female,Bachelor's,8,Analyst,Finance,Software Developer,Medium,City_A,1,Certifications,0,3.28013528
,29,Male,Bachelor's,10,Consultant,Finance,Teacher,Low,City_C,1,Workshops,1,8.364135583
,42,Female,Bachelor's,19,Engineer,IT,Teacher,Medium,City_B,1,Online Courses,1,18.78141229
,40,Male,High School,11,Analyst,Healthcare,Financial Analyst,Low,City_C,1,Certifications,0,29.00670933
,44,Female,Ph.D.,7,Consultant,Finance,Teacher,Low,City_C,1,Workshops,0,24.46579897
,32,Female,Master's,11,Analyst,Education,Financial Analyst,Low,City_C,1,Certifications,0,8.339881937
,32,Female,High School,17,Engineer,Finance,Teacher,Medium,City_C,1,Workshops,0,23.63566242
,45,Female,Bachelor's,1,Consultant,IT,Teacher,High,City_B,1,Certifications,0,9.637289205
,57,Female,Bachelor's,26,Consultant,Healthcare,Nurse,High,City_A,1,Workshops,1,28.11721128
,45,Female,High School,29,Consultant,IT,Teacher,Medium,City_B,1,Online Courses,1,17.45864265
,24,Male,High School,21,Analyst,Education,Financial Analyst,High,City_B,1,Workshops,0,21.69823001
,43,Female,Bachelor's,21,Engineer,Finance,Financial Analyst,Low,City_A,1,Certifications,1,10.24375102
,23,Male,Ph.D.,8,Consultant,Finance,Software Developer,High,City_C,1,Certifications,1,3.35611001
,45,Male,Bachelor's,23,Manager,IT,Software Developer,Medium,City_A,1,Online Courses,0,2.133800747
,51,Female,Bachelor's,24,Engineer,IT,Nurse,High,City_A,1,Certifications,0,20.43745946
,59,Male,High School,6,Manager,Education,Financial Analyst,Low,City_B,1,Online Courses,0,1.955301875
,23,Female,Ph.D.,22,Manager,Healthcare,Financial Analyst,Low,City_A,1,Certifications,1,14.12885384
,42,Male,Bachelor's,18,Consultant,Education,Financial Analyst,Medium,City_C,1,Certifications,0,3.507064421
,54,Female,Bachelor's,6,Consultant,Healthcare,Nurse,Medium,City_B,1,Online Courses,1,14.08017273
,33,Male,Master's,5,Analyst,Finance,Financial Analyst,Medium,City_C,1,Certifications,1,9.087506269
,43,Female,High School,13,Analyst,Healthcare,Software Developer,Low,City_B,1,Certifications,1,7.095894292
,46,Female,Master's,19,Analyst,Healthcare,Nurse,High,City_C,1,Online Courses,1,11.58297242
,48,Female,Master's,22,Engineer,Finance,Software Developer,High,City_A,1,Workshops,0,7.350068713
,49,Female,Bachelor's,8,Analyst,Finance,Software Developer,Medium,City_A,1,Online Courses,1,33.84880705
,37,Male,High School,9,Manager,Finance,Nurse,High,City_A,1,Certifications,0,12.13429944
,36,Female,Ph.D.,17,Analyst,Education,Teacher,High,City_C,1,Workshops,1,20.99994971
,24,Male,Bachelor's,3,Consultant,Finance,Teacher,Medium,City_B,1,Workshops,0,21.82814826
,58,Male,Ph.D.,19,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,10.5797386
,28,Male,Ph.D.,11,Engineer,Finance,Teacher,Low,City_B,1,Online Courses,0,21.46753576
,42,Female,High School,24,Engineer,Finance,Financial Analyst,Low,City_A,1,Workshops,1,26.77005051
,30,Male,Master's,17,Manager,Finance,Nurse,Low,City_C,1,Workshops,1,24.44632355
,39,Male,High School,21,Engineer,Healthcare,Software Developer,Low,City_B,1,Workshops,1,9.155238288
,25,Male,Ph.D.,19,Analyst,Education,Financial Analyst,High,City_C,1,Certifications,0,1.361510326
,46,Female,Bachelor's,2,Consultant,Finance,Teacher,High,City_B,1,Online Courses,1,23.44505
,35,Female,Ph.D.,8,Engineer,Education,Financial Analyst,Low,City_A,1,Online Courses,1,23.49673831
,30,Male,Bachelor's,19,Manager,IT,Teacher,Low,City_C,1,Certifications,1,27.10695337
,47,Female,Bachelor's,7,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,9.473826214
,23,Female,High School,28,Manager,Finance,Financial Analyst,High,City_B,1,Certifications,1,9.58512215
,41,Male,Ph.D.,27,Engineer,IT,Nurse,High,City_B,1,Certifications,1,26.49262936
,49,Male,Master's,17,Engineer,Education,Software Developer,Low,City_B,1,Workshops,0,24.89930397
,28,Female,Ph.D.,6,Manager,Healthcare,Financial Analyst,High,City_A,1,Workshops,0,22.66864063
,29,Male,Ph.D.,19,Analyst,Finance,Financial Analyst,Medium,City_B,1,Online Courses,0,23.5725401
,56,Female,Master's,24,Engineer,IT,Teacher,Medium,City_B,1,Workshops,0,7.983073742
,35,Female,High School,6,Consultant,Education,Software Developer,High,City_A,1,Certifications,0,6.670844645
,38,Female,Ph.D.,28,Engineer,Education,Software Developer,Low,City_B,1,Certifications,0,16.55453913
,57,Female,Ph.D.,2,Analyst,IT,Software Developer,High,City_C,1,Workshops,1,7.171089727
,25,Female,Bachelor's,6,Engineer,Education,Software Developer,Medium,City_C,1,Online Courses,1,27.94114937
,23,Female,Ph.D.,23,Manager,Education,Teacher,Low,City_B,1,Certifications,0,10.34244172
,27,Male,Master's,5,Engineer,Finance,Nurse,High,City_A,1,Workshops,1,2.250643337
,25,Male,Bachelor's,19,Engineer,Education,Software Developer,Low,City_A,1,Online Courses,0,5.063129614
